"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"2699","Sandbar Shark",2022,"Longline",26.8939,-84.4526,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Large (Greater than 2m)"
"2700","Atlantic Sharpnose Shark",2023,"Longline",26.1,-83.0648,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2701","Blacknose Shark",2023,"Longline",26.0384,-82.8596,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"2702","Dogfish, Smooth (Florida)",2018,"Longline",26.5076,-84.6854,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"2703","Dogfish, Spiny (Cuban)",2021,"Longline",27.5791,-93.1785,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2704","Dogfish, Smooth (Florida)",2022,"Longline",27.4853,-96.1845,"Brought on Board (Retained/Discarded)","Dead on Arrival - Damaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2705","Scalloped Hammerhead",2019,"Longline",27.76,-93.6439,"Cut-off at Rail (No Entanglement)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2706","Shark, Unidentified",2021,"Longline",27.5497,-96.0775,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2707","Tiger Shark",2022,"Longline",28.7831,-84.6738,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2708","Blacknose Shark",2019,"Longline",27.1152,-83.2284,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2709","Sandbar Shark",2019,"Longline",27.3465,-83.4582,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Large (Greater than 2m)"
"2710","Atlantic Sharpnose Shark",2019,"Longline",27.3255,-83.6381,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2711","Tiger Shark",2019,"Longline",27.8288,-84.1435,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Small (Less than 1m)"
"2712","Sandbar Shark",2016,"Longline",25.37,-83.7785,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"2713","Shark, Unidentified",2023,"Longline",27.4192,-83.6196,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2714","Dogfish, Spiny (Cuban)",2018,"Longline",28.8395,-85.9695,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2715","Sharpnose Sevengill Shark",2023,"Longline",27.7877,-91.53,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2716","Tiger Shark",2020,"Longline",27.5823,-83.4625,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2717","Dogfish, Spiny (Cuban)",2017,"Longline",27.1848,-84.817,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"2718","Dogfish, Smooth (Florida)",2020,"Longline",27.1966,-96.3632,"Not Handled (Dropped Off)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"2719","Silky Shark",2019,"Longline",27.7962,-93.6143,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"2720","Dogfish, Smooth (Florida)",2019,"Longline",28.2297,-90.269,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"2721","Sandbar Shark",2024,"Longline",25.8722,-82.8065,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
