"","Common_Name","Retrieval_Year","Trip_Type","Catch_Latitude","Catch_Longitude","Catch_Handling","Condition_On_Arrival","Catch_Fate","Sex_Of_Shark","Shark_Length_Estimate"
"1","Sandbar Shark",2023,"Longline",28.5992,-84.9805,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Large (Greater than 2m)"
"2","Dogfish, Spiny (Cuban)",2019,"Longline",27.7701,-95.2303,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"3","Dogfish, Smooth (Florida)",2019,"Longline",28.2193,-90.2567,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"4","Dogfish, Smooth (Florida)",2019,"Longline",27.9108,-94.9012,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"5","Nurse Shark",2023,"Longline",25.3547,-82.8871,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"6","Dogfish, Smooth (Florida)",2019,"Longline",28.1563,-90.208,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"7","Sandbar Shark",2020,"Longline",26.4961,-83.0757,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"8","Shark, Unidentified",2019,"Longline",25.769,-84.3006,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"9","Blacknose Shark",2023,"Longline",26.0064,-82.8493,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"10","Dogfish, Smooth (Florida)",2019,"Longline",28.1411,-90.5642,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"11","Dogfish, Smooth (Florida)",2019,"Longline",28.1902,-90.2177,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"12","Dogfish, Spiny (Cuban)",2021,"Longline",27.752,-94.1537,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"13","Sandbar Shark",2023,"Longline",27.8872,-83.7503,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"14","Tiger Shark",2023,"Longline",27.4828,-83.5039,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"15","Blacknose Shark",2017,"Longline",25.0781,-82.9344,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"16","Sandbar Shark",2023,"Longline",25.3907,-83.9903,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"17","Dogfish, Spiny (Cuban)",2019,"Longline",27.7887,-92.7678,"Brought on Board (Retained/Discarded)","Unknown Condition","Unknown Fate","Unknown Maturity and/or Sex","Small (Less than 1m)"
"18","Dogfish, Spiny (Cuban)",2019,"Longline",27.8151,-91.2768,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Male (Claspers)","Medium (Between 1m and 2m)"
"19","Dogfish, Smooth (Florida)",2019,"Longline",28.2261,-90.2173,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"20","Nurse Shark",2022,"Longline",26.7783,-83.7185,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"21","Blacknose Shark",2023,"Longline",27.715,-83.6637,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"22","Shark, Unidentified",2019,"Longline",27.4516,-83.6373,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"23","Sandbar Shark",2023,"Longline",28.7584,-84.6175,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"24","Dogfish, Smooth (Florida)",2019,"Longline",27.7486,-95.6041,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"25","Dogfish, Smooth (Florida)",2019,"Longline",28.0985,-90.5585,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"26","Dogfish, Smooth (Florida)",2022,"Longline",27.3285,-96.2328,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"27","Dogfish, Smooth (Florida)",2019,"Longline",28.2197,-90.3364,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"28","Dogfish, Smooth (Florida)",2019,"Longline",28.2136,-90.2442,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Small (Less than 1m)"
"29","Atlantic Sharpnose Shark",2016,"Longline",25.6048,-83.8553,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"30","Blacknose Shark",2019,"Longline",27.0946,-83.2338,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"31","Blacknose Shark",2020,"Longline",27.8597,-83.6677,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"32","Tiger Shark",2023,"Longline",28.726,-84.8315,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"33","Atlantic Sharpnose Shark",2018,"Longline",25.3914,-83.8501,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"34","Blacknose Shark",2019,"Longline",26.7976,-83.1473,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"35","Dogfish, Smooth (Florida)",2020,"Longline",27.1694,-96.3428,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"36","Dogfish, Spiny (Cuban)",2023,"Longline",27.8315,-91.5638,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"37","Atlantic Sharpnose Shark",2023,"Longline",26.6239,-96.4395,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Female","Small (Less than 1m)"
"38","Sandbar Shark",2023,"Longline",25.1956,-83.8854,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"39","Dogfish, Smooth (Florida)",2019,"Longline",28.2248,-90.2442,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"40","Atlantic Sharpnose Shark",2018,"Longline",26.9592,-83.3533,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"41","Dogfish, Spiny (Cuban)",2021,"Longline",27.5704,-93.2045,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"42","Dogfish, Spiny (Cuban)",2023,"Longline",28.6764,-85.7527,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"43","Dogfish, Smooth (Florida)",2021,"Longline",27.5182,-96.0979,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"44","Dogfish, Smooth (Florida)",2019,"Longline",26.5848,-96.3938,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"45","Dogfish, Spiny (Cuban)",2022,"Longline",28.2427,-85.6128,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"46","Dogfish, Smooth (Florida)",2021,"Longline",28.7957,-85.4153,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"47","Sandbar Shark",2024,"Longline",26.7267,-83.103,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"48","Atlantic Sharpnose Shark",2022,"Longline",27.0502,-83.643,"Cut-off at Rail (No Entanglement)","Dead on Arrival - Damaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"49","Dogfish, Spiny (Cuban)",2023,"Longline",27.7791,-91.5523,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"50","Atlantic Sharpnose Shark",2019,"Longline",28.227,-90.2885,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"51","Tiger Shark",2021,"Longline",26.9637,-84.0355,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"52","Dogfish, Spiny (Cuban)",2020,"Longline",27.6297,-93.1844,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Female","Small (Less than 1m)"
"53","Atlantic Sharpnose Shark",2016,"Longline",26.414,-83.9119,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"54","Dogfish, Spiny (Cuban)",2021,"Longline",29.0464,-86.1181,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"55","Atlantic Sharpnose Shark",2019,"Longline",26.3233,-83.7576,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"56","Dogfish, Spiny (Cuban)",2023,"Longline",28.669,-85.8691,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"57","Nurse Shark",2022,"Longline",25.831,-82.8121,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"58","Dogfish, Smooth (Florida)",2022,"Longline",27.4854,-96.1795,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"59","Blacknose Shark",2022,"Longline",27.3183,-83.6505,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"60","Nurse Shark",2021,"Longline",27.6077,-83.7507,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"61","Dogfish, Smooth (Florida)",2021,"Longline",27.9117,-93.1996,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"62","Dogfish, Spiny (Cuban)",2021,"Longline",27.5772,-93.1828,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"63","Dogfish, Spiny (Cuban)",2023,"Longline",29.0442,-86.1061,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"64","Dogfish, Spiny (Cuban)",2018,"Longline",28.7448,-85.9838,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"65","Dogfish, Spiny (Cuban)",2023,"Longline",28.6149,-85.7946,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"66","Sandbar Shark",2019,"Longline",25.8869,-83.665,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"67","Tiger Shark",2019,"Longline",27.9074,-94.8557,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"68","Dogfish, Spiny (Cuban)",2019,"Longline",27.6248,-93.011,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"69","Dogfish, Smooth (Florida)",2016,"Longline",25.1931,-83.8982,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"70","Dogfish, Smooth (Florida)",2019,"Longline",28.1466,-90.5651,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"71","Shark, Unidentified",2023,"Longline",27.6888,-93.783,"Cut-off at Rail (No Entanglement)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"72","Dogfish, Smooth (Florida)",2019,"Longline",28.1412,-90.5642,"Brought on Board (Retained/Discarded)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"73","Tiger Shark",2020,"Longline",24.8099,-83.5733,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"74","Blacknose Shark",2022,"Longline",26.9658,-83.4094,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"75","Dogfish, Spiny (Cuban)",2023,"Longline",28.7232,-85.8736,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"76","Dogfish, Smooth (Florida)",2019,"Longline",27.8996,-94.9039,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"77","Atlantic Sharpnose Shark",2023,"Longline",25.6901,-82.8832,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"78","Dogfish, Smooth (Florida)",2019,"Longline",28.2185,-90.2547,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"79","Atlantic Sharpnose Shark",2023,"Longline",28.7818,-84.6292,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"80","Sixgill Shark (all)",2022,"Longline",29.0931,-86.0526,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"81","Dogfish, Spiny (Cuban)",2022,"Longline",29.0813,-85.9899,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"82","Dogfish, Spiny (Cuban)",2022,"Longline",29.0884,-86.0142,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"83","Blacknose Shark",2022,"Longline",27.8555,-84.0572,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"84","Blacknose Shark",2019,"Longline",27.0164,-83.6693,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"85","Dogfish, Spiny (Cuban)",2023,"Longline",28.5613,-85.8119,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"86","Dogfish, Smooth (Florida)",2019,"Longline",27.8899,-94.5381,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"87","Shark, Unidentified",2020,"Longline",25.6074,-82.7438,"Not Handled (Dropped Off)","Unknown Condition","Discarded - Unknown","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"88","Atlantic Sharpnose Shark",2016,"Longline",26.389,-83.8836,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"89","Dogfish, Smooth (Florida)",2019,"Longline",28.1968,-90.2179,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"90","Atlantic Sharpnose Shark",2016,"Longline",24.721,-83.1845,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"91","Nurse Shark",2021,"Longline",27.8839,-83.6296,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"92","Sandbar Shark",2023,"Longline",28.7593,-84.842,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"93","Blacknose Shark",2023,"Longline",28.7134,-84.5525,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"94","Blacknose Shark",2021,"Longline",26.5251,-83.107,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Medium (Between 1m and 2m)"
"95","Tiger Shark",2022,"Longline",27.9339,-84.4735,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"96","Dogfish, Smooth (Florida)",2019,"Longline",28.2228,-90.2436,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"97","Dogfish, Smooth (Florida)",2019,"Longline",28.1574,-90.2044,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
"98","Atlantic Sharpnose Shark",2016,"Longline",25.2117,-83.6449,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"99","Dogfish, Smooth (Florida)",2020,"Longline",25.6904,-84.4466,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"100","Atlantic Sharpnose Shark",2022,"Longline",25.8308,-82.9085,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"101","Blacknose Shark",2017,"Longline",25.0625,-82.9468,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"102","Carcharhinid, Unidentified",2023,"Longline",25.6256,-82.7421,"Not Handled (Dropped Off)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"103","Tiger Shark",2020,"Longline",27.7001,-83.8189,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"104","Dogfish, Smooth (Florida)",2022,"Longline",27.3407,-96.2743,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"105","Atlantic Sharpnose Shark",2018,"Longline",26.8634,-83.8214,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"106","Tiger Shark",2024,"Longline",28.6548,-84.533,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"107","Dogfish, Spiny (Cuban)",2024,"Longline",28.6277,-85.7819,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"108","Atlantic Sharpnose Shark",2017,"Longline",25.4896,-82.8834,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"109","Dogfish, Smooth (Florida)",2019,"Longline",28.164,-90.2146,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"110","Scalloped Hammerhead",2019,"Longline",28.0647,-91.0969,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Large (Greater than 2m)"
"111","Tiger Shark",2020,"Longline",26.2602,-83.2583,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"112","Dogfish, Smooth (Florida)",2018,"Longline",26.4724,-84.6833,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"113","Shark, Unidentified",2024,"Longline",26.9871,-83.4171,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Unknown","Unknown Maturity and/or Sex","Small (Less than 1m)"
"114","Dogfish, Smooth (Florida)",2019,"Longline",28.2129,-90.2446,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"115","Atlantic Sharpnose Shark",2019,"Longline",28.0917,-91.1043,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"116","Tiger Shark",2019,"Longline",25.0876,-83.5054,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"117","Tiger Shark",2019,"Longline",27.4054,-83.5137,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Juvenile","Medium (Between 1m and 2m)"
"118","Blacknose Shark",2023,"Longline",27.6298,-83.6055,"Brought on Board (Retained/Discarded)","Dead on Arrival - Undamaged","Discarded - Dead","Unknown Maturity and/or Sex","Small (Less than 1m)"
"119","Dogfish, Smooth (Florida)",2022,"Longline",27.4854,-96.1679,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"120","Dogfish, Smooth (Florida)",2020,"Longline",27.0065,-84.0149,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"121","Sandbar Shark",2022,"Longline",28.8362,-85.1273,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"122","Atlantic Sharpnose Shark",2018,"Longline",27.8297,-83.8576,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"123","Sandbar Shark",2022,"Longline",27.6601,-83.475,"Cut-off at Rail (No Entanglement)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Large (Greater than 2m)"
"124","Dogfish, Smooth (Florida)",2019,"Longline",28.1889,-90.2682,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"125","Dogfish, Spiny (Cuban)",2020,"Longline",27.6304,-93.1617,"Brought on Board (Retained/Discarded)","Live - Healthy","Retained as Bait","Unknown Maturity and/or Sex","Small (Less than 1m)"
"126","Dogfish, Smooth (Florida)",2016,"Longline",25.3583,-83.7766,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Medium (Between 1m and 2m)"
"127","Atlantic Sharpnose Shark",2019,"Longline",28.2104,-90.2212,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Small (Less than 1m)"
"128","Dogfish, Spiny (Cuban)",2017,"Longline",27.0438,-84.8038,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Female","Small (Less than 1m)"
"129","Dogfish, Smooth (Florida)",2019,"Longline",28.2342,-90.2725,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Unknown Maturity and/or Sex","Medium (Between 1m and 2m)"
"130","Atlantic Sharpnose Shark",2022,"Longline",27.915,-83.7497,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Male (Claspers)","Small (Less than 1m)"
"131","Dogfish, Smooth (Florida)",2022,"Longline",27.3619,-96.2509,"Brought on Board (Retained/Discarded)","Live - Healthy","Discarded - Live and Healthy (Not Vented)","Known Adult - Undetermined Sex","Medium (Between 1m and 2m)"
